"","SiteID","Group","Species","Row","Column","germination.spring","germination.fall.new","germ.any","survival.spring","survival.fall","surv.any","tray.damage.spring","tray.damage.fall","damage.any","nodamage.any","dead.germinant.fall","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","site.type"
"106","CR01","C","pico","B",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"107","CR01","C","pico","B",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"108","CR01","C","pico","B",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"109","CR01","C","pico","B",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"110","CR01","C","pico","B",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"111","CR01","C","psme","B",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"112","CR01","C","psme","B",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"113","CR01","C","psme","B",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"114","CR01","C","psme","B",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"115","CR01","C","psme","B",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"116","CR01","C","psme","B",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"117","CR01","C","psme","B",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"118","CR01","C","psme","B",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"119","CR01","C","psme","B",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"120","CR01","C","psme","B",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"121","CR01","E","pico","B",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"122","CR01","E","pico","B",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"123","CR01","E","pico","B",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"124","CR01","E","pico","B",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"125","CR01","E","pico","B",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"126","CR01","E","pico","B",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
